What is your age?,What is your gender?  ,What is your occupation?  ,Does any member of your family or a close acquaintance live abroad?,Have you decided to move abroad?,How long do you plan to stay abroad?,Are you aware of any specific migration programs or scholarships available for students or workers abroad?  ,What role do social media and online success stories play in influencing your decision to move abroad?,Who or what influences your decision to move abroad? (Multiple options can be selected),Which countries are you most interested in moving to?,How much psychological stress or anxiety have you experienced while considering moving abroad?  ,What is your primary goal for considering moving abroad? (Multiple options can be selected),What kind of psychological stress have you experienced while planning to move abroad? (Multiple options can be selected) ,How do you cope with the stress of planning to move abroad?,Do you think migration trends have increased among Bangladeshi youth in the last 5 years?,What do you think is the biggest barrier to migrating abroad? (Multiple options can be selected),Do you think you will return to Bangladesh in the future after living abroad?,Do you think your decision to move abroad will impact your family or community in Bangladesh?,Do you feel that the government of Bangladesh offers enough support for youth planning to migrate abroad?  ,Do you feel a sense of responsibility towards your family while planning to move abroad?,"How likely are you to recommend going abroad to others in your age group? (Rate on a scale of 1 to 5, where 1 is very unlikely and 5 is very likely)."
31-40,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Personal research and aspirations;Family pressure or support,UK,Rarely,Political stability;Economic opportunities;Better living standards,Visa or immigration concerns;Language barriers;Job uncertainty,Talking to family and friends,I’m not sure,Visa or immigration process;Job information or experience;Financial issues,Not sure,Negative impact,No,Yes,2
40 or above,Male,Employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Other;Personal research and aspirations,UK,Never,Other;Political stability;Healthcare,Nothing,Talking to family and friends,No change,Educational qualification;Visa or immigration process;Job information or experience,Not sure,Positive impact,No,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Other;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Other;Better job opportunities;Higher education,Separation from family;Job uncertainty,Joining online forums,Yes,Family pressure or support;Job information or experience;Other,No,Positive impact,Not Sure,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,No role at all,Career mentors or teachers;Family pressure or support;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Rarely,Desire for independence;Political stability;Healthcare,Other;Language barriers,Talking to family and friends,No change,Financial issues;Job information or experience;Educational qualification,Yes,Not sure,Not Sure,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Friends or peer influence;Social media and online success stories,USA,Never,Better job opportunities;Economic opportunities;Political stability,Cultural shock,Talking to family and friends,I’m not sure,Job information or experience;Financial issues;Visa or immigration process,Yes,Positive impact,Yes,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,No role at all,Social media and online success stories;Family pressure or support;Career mentors or teachers,Australia,Rarely,Other;Economic opportunities;Healthcare,Nothing,Professional counseling,Yes,Other;Job information or experience;Family pressure or support,No,Negative impact,No,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Career mentors or teachers;Other,"Europe (e.g., Germany, Sweden)",Never,Desire for independence;Higher education;Healthcare,Job uncertainty;Social acceptance;Separation from family,Talking to family and friends,No change,All country Embassy is not in Bangladesh;Job information or experience;Family pressure or support,Yes,Positive impact,Not Sure,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Other;Friends or peer influence,UK,Rarely,Better job opportunities;Other;Political stability,Other;Separation from family;Job uncertainty,Talking to family and friends,No,Family pressure or support;Other;Visa or immigration process,No,No impact,Yes,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Friends or peer influence;Personal research and aspirations,Canada,Rarely,Economic opportunities;Healthcare;Political stability,Nothing,Talking to family and friends,No,All country Embassy is not in Bangladesh;Job information or experience;Other,Yes,Not sure,Not Sure,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Other;Family pressure or support;Social media and online success stories,USA,Never,Better living standards;Economic opportunities;Desire for independence,Visa or immigration concerns,Other,I’m not sure,Family pressure or support;Financial issues;Job information or experience,No,Not sure,Not Sure,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Friends or peer influence;Personal research and aspirations;Other,USA,Never,Healthcare;Economic opportunities;Better living standards,Nothing,Other,No,Other;Visa or immigration process;All country Embassy is not in Bangladesh,No,Positive impact,Not Sure,Yes,2
40 or above,Male,Employed,No,No,Less than 1 year,No,A minor role,Social media and online success stories;Career mentors or teachers;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Desire for independence;Better job opportunities;Political stability,Cultural shock,Hobbies or physical exercise,I’m not sure,Other;Visa or immigration process;Family pressure or support,Yes,Not sure,Yes,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,A moderate role,Social media and online success stories;Other;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Never,Better job opportunities;Economic opportunities;Better living standards,Job uncertainty,Joining online forums,Yes,Job information or experience;Family pressure or support;Educational qualification,No,Not sure,Not Sure,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Other;Friends or peer influence;Family pressure or support,USA,Never,Healthcare;Desire for independence;Political stability,Other,Other,Yes,Visa or immigration process;Job information or experience;All country Embassy is not in Bangladesh,No,No impact,No,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Other;Personal research and aspirations;Family pressure or support,UK,Never,Political stability;Other;Higher education,Job uncertainty;Social acceptance,Other,No change,Job information or experience;Other;Visa or immigration process,Yes,No impact,No,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,A moderate role,Other;Friends or peer influence;Social media and online success stories,UK,Never,Better job opportunities;Healthcare;Better living standards,Cultural shock,Talking to family and friends,No,Family pressure or support;Financial issues;Educational qualification,No,Not sure,Yes,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Personal research and aspirations;Social media and online success stories;Friends or peer influence,USA,Never,Better living standards;Economic opportunities;Higher education,Other,Hobbies or physical exercise,No,All country Embassy is not in Bangladesh;Family pressure or support;Job information or experience,Yes,Negative impact,Not Sure,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Social media and online success stories;Family pressure or support,Canada,Never,Better job opportunities;Better living standards;Higher education,Language barriers;Cultural shock,Hobbies or physical exercise,No change,Job information or experience;Visa or immigration process;Financial issues,Yes,Positive impact,No,Yes,2
31-40,Female,Self-employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Friends or peer influence;Family pressure or support,"Europe (e.g., Germany, Sweden)",Never,Better job opportunities;Other;Economic opportunities,Social acceptance;Job uncertainty;Other,Hobbies or physical exercise,I’m not sure,Educational qualification;Family pressure or support;Visa or immigration process,Not sure,No impact,Yes,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Other;Friends or peer influence,UK,Rarely,Better living standards;Higher education;Desire for independence,Visa or immigration concerns;Job uncertainty,Professional counseling,No change,Job information or experience;Other;Educational qualification,Not sure,No impact,No,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Friends or peer influence;Other;Career mentors or teachers,USA,Never,Economic opportunities;Desire for independence;Higher education,Social acceptance,Joining online forums,I’m not sure,Other;All country Embassy is not in Bangladesh;Job information or experience,Yes,No impact,Not Sure,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Social media and online success stories;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Political stability;Economic opportunities;Healthcare,Social acceptance;Other,Professional counseling,No,Family pressure or support;All country Embassy is not in Bangladesh;Job information or experience,No,Not sure,Yes,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Career mentors or teachers;Friends or peer influence,USA,Never,Better job opportunities;Political stability;Desire for independence,Visa or immigration concerns;Separation from family,Hobbies or physical exercise,Yes,Family pressure or support;Visa or immigration process;All country Embassy is not in Bangladesh,Yes,Positive impact,Not Sure,Yes,2
31-40,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Friends or peer influence;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Political stability;Economic opportunities;Healthcare,Nothing,Talking to family and friends,Yes,Job information or experience;Educational qualification;Financial issues,No,Not sure,Yes,Yes,1
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Other;Friends or peer influence,USA,Rarely,Desire for independence;Higher education;Political stability,Visa or immigration concerns;Language barriers,Other,Yes,Job information or experience;Other;Family pressure or support,Yes,Positive impact,Yes,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,A moderate role,Friends or peer influence;Family pressure or support;Career mentors or teachers,Australia,Rarely,Better living standards;Economic opportunities;Higher education,Nothing,Hobbies or physical exercise,I’m not sure,Educational qualification;Financial issues;Visa or immigration process,No,Not sure,Not Sure,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,A significant role,Family pressure or support;Personal research and aspirations;Career mentors or teachers,Canada,Never,Better living standards;Desire for independence;Higher education,Nothing,Joining online forums,Yes,Financial issues;Educational qualification;Visa or immigration process,Yes,Not sure,Yes,Yes,2
